"cell_id","group"
"aanakmdb-1","PTS2weak"
"aanapeak-1","PTS1"
"aanbbnpa-1","PTS2"
"aanbdafj-1","EC1"
"aanblpei-1","PTS2"
"aanccehm-1","PTS2"
"aancnkoh-1","PTS2"
"aandcjic-1","PTS2"
"aandgdpj-1","PTS2"
"aandilgk-1","PTS2"
"aandpjpm-1","PTS2"
"aanebhnd-1","PTS2"
"aanfcego-1","PTS2"
"aanffhbg-1","PTS2"
"aangbche-1","PTS2"
"aanhfeln-1","PTS1"
"aanhhjbc-1","PTS1"
"aanhhpal-1","PTS1"
"aanhmgll-1","PTS2"
"aanhopfp-1","PTS2"
"aaniiejc-1","PTS2"
"aanioegk-1","PTS2"
"aaniokhe-1","PTS2"
"aankjjda-1","PTS2"
"aankpjcb-1","PTS2"
"aanlahgi-1","PTS1"
"aanlmbmo-1","PTS1"
"aanmhgag-1","DCT2"
"aannlaam-1","PTS2"
"aannledl-1","PTS2"
"aannoffb-1","DCT2"
"aannokgm-1","PTS2"
"aannpjlg-1","DCT2"
"aanpaelm-1","PTS2"
"aaoaamje-1","PTS2"
"aaoacida-1","PTS2"
"aaobfmin-1","PTS2"
"aaobghcd-1","PTS2"
"aaobhonn-1","PTS2"
"aaobjgkl-1","PTS2"
"aaobmclo-1","PTS2"
"aaobpfmb-1","PTS2"
"aaocifog-1","PTS1"
"aaockgki-1","PTS1"
"aaodboab-1","PTS1"
"aaodnbhm-1","PTS1"
"aaoemhbb-1","PTS2"
"aaoengff-1","PTS2"
"aaofbchk-1","PTS2"
"aaoflpom-1","PTS2"
"aaogaiod-1","PTS2"
"aaogkfie-1","PTS2"
"aaohgooa-1","PTS2"
"aaohhdce-1","PTS2"
"aaohlend-1","PTS2"
"aaoiefdo-1","PTS2"
"aaoijbkh-1","PTS2"
"aaokohmg-1","PTS2"
"aaolapgj-1","PTS2"
"aaolfbpn-1","PTS2"
"aaolnfbh-1","PTS2"
"aaomabii-1","PTS2"
"aaomlngf-1","PTS2"
"aaomnalj-1","PTS2"
"aaonbmpp-1","PTS2"
"aaondbee-1","PTS2"
"aaoneocd-1","PTS2"
"aaongjnf-1","PTS2"
"aaonjnpa-1","PTS2"
"aaonlmml-1","DCT2"
"aaonncfh-1","PTS2"
"aaoodbkh-1","PTS2"
"aaookdco-1","PTS2"
"aaoomfjl-1","PTS2"
"aaoopnnj-1","PTS2"
"aaopbhck-1","PTS2"
"aaopckih-1","PTS2"
"aaopgjim-1","PTS2"
"aaopjnah-1","PTS2"
"aaopkmcc-1","CNT"
"aapaedol-1","PTS2"
"aapafipi-1","PTS2"
"aapajjob-1","PTS2"
"aapakcpm-1","PTS2"
"aapbogdd-1","PTS2"
"aapcbfjl-1","CNT"
"aapcbimd-1","CNT"
"aapcljph-1","CNT"
"aapclmne-1","CNT"
"aapebllf-1","PTS1"
"aapekiag-1","PTS2"
"aapendjm-1","PTS2"
"aapfdabc-1","PTS2"
"aapfoani-1","PTS2"
"aapfpdfm-1","PTS2"
"aapghiaf-1","PTS2"
"aapgnbcp-1","EC1"
"aaphcahd-1","PTS2"
"aaphijbf-1","PTS2"
"aapiahaf-1","PTS2"
"aapijmpb-1","PTS2"
"aapikiea-1","PTS2"
"aapipank-1","PTS2"
"aapjcoma-1","PTS1"
"aapjgman-1","PTS2"
"aapkhmco-1","PTS2"
"aapljgbm-1","PTS2"
"aaplonbb-1","PTS2"
"aapmafbi-1","PTS2"
"aapmbmmm-1","PTS2"
"aapmiphm-1","PTS2"
"aapmmijo-1","PTS2"
"aapmoobp-1","PTS2"
"aapmopfl-1","PTS2"
"aapnofii-1","PTS2"
"aapocnhp-1","PTS2"
"aappcpfk-1","PTS2"
"aappmjbb-1","PTS2"
"aappncfk-1","PTS2"
"aappnefm-1","PTS2"
"abaaehdf-1","PTS2"
"abaamfee-1","PTS2"
"abaaoabe-1","PTS2"
"abablmom-1","PTS2"
"ababmcme-1","PTS2"
"ababndej-1","PTS2"
"abaccnfk-1","PTS2"
"abaclimc-1","PTS2"
"abacnapi-1","PTS2"
"abadbace-1","PTS2"
"abaddbmg-1","PTS2"
"abaegphl-1","PTS2"
"abaejhgn-1","PTS2"
"abaelipg-1","PTS2"
"abafonea-1","PTS2"
"abafphcc-1","PTS2"
