"cell_id","group"
"abamjdlj-1","PTS2"
"abamnkcj-1","PTS2"
"abamolcc-1","PTS2"
"abanelnn-1","PTS2"
"abanemlk-1","PTS2"
"abangggd-1","PTS2"
"abanmbeg-1","PTS2"
"abanmepl-1","PTS2"
"abaokpkb-1","PTS2"
"abaomfhl-1","PTS2"
"abaphgog-1","PTS2"
"abapliad-1","PTS1"
"abapngnf-1","PTS1"
"abbachad-1","PTS1"
"abbbgjlp-1","PTS1"
"abbbhopf-1","PTS1"
"abbbjfnf-1","PTS1"
"abbcfnco-1","PTS1"
"abbeecpo-1","PTS1"
"abbefbmi-1","PTS1"
"abbefpgf-1","PTS1"
"abbejnjk-1","PTS1"
"abbfnlob-1","PTS1"
"abbfocog-1","PTS1"
"abbicbll-1","PTS1"
"abbimnmp-1","PTS1"
"abbjfndo-1","PTS1"
"abbjhpdb-1","PTS1"
"abbjkndh-1","PTS1"
"abbjlkcm-1","PTS2"
"abbjmgll-1","CNT"
"abbkmgkf-1","PTS2"
"abblekmh-1","PTS2"
"abblnijk-1","PTS2"
"abbloebj-1","PTS2"
"abblphfl-1","PTS2"
"abbmpkpn-1","PTS1"
"abbneegb-1","PTS2"
"abbniama-1","PTS1"
"abbnjkdp-1","PTS2"
"abboamko-1","PTS2"
"abbpjdjf-1","PTS2"
"abbpkinm-1","ICA"
"abbpokac-1","PTS1"
"abcafkjo-1","CNT"
"abcahjgg-1","CNT"
"abcahpka-1","ICB"
"abcaoalm-1","ICB"
"abcbfikb-1","ICB"
"abcbkdoh-1","CNT"
"abcbkepb-1","PTS2"
"abcbnlnp-1","PTS2"
"abccbipg-1","PTS2"
"abccmboi-1","PTS2"
"abccmicj-1","PTS2"
"abcdchmo-1","PTS2"
"abcdgcoj-1","PTS2"
"abcdhchi-1","PTS2"
"abcegkdj-1","PTS2"
"abcfebok-1","PTS2"
"abcfpgfp-1","PTS2"
"abcgbbbg-1","PTS2"
"abcgibpf-1","PTS2"
"abchfico-1","PTS2"
"abchnccn-1","PTS1"
"abcijekg-1","PTS1"
"abcinpga-1","PTS1"
"abciooaf-1","ICB"
"abckagdl-1","CNT"
"abckecgj-1","PTS1"
"abckgcdc-1","PTS1"
"abckgdoa-1","PTS1"
"abckignf-1","ICB"
"abcknjfm-1","CNT"
"abclemhi-1","ICB"
"abclenio-1","ICB"
"abclgldf-1","PTS2"
"abcmcgce-1","PTS1"
"abcnbkkb-1","PTS2"
"abcngfki-1","PTS2"
"abcobdko-1","ICA"
"abcomhog-1","PTS1"
"abconkco-1","CNT"
"abcpbbpf-1","PTS1"
"abcpcadm-1","PTS2"
"abcpgpei-1","PTS1"
"abdbapkb-1","PTS2"
"abdbepkk-1","PTS2"
"abdbpcgc-1","PTS2"
"abdchfdk-1","PTS2"
"abdcknob-1","PTS2"
"abdcnbbn-1","PTS1"
"abddalld-1","PTS1"
"abddedpf-1","PTS2"
"abddfmeg-1","PTS2"
"abddhobn-1","PTS2"
"abddmhae-1","PTS2"
"abddoaba-1","PTS2"
"abddohhe-1","PTS2"
"abdfihgo-1","PTS2"
"abdggdpc-1","PTS2"
"abdgoafj-1","PTS2"
"abdhajin-1","PTS2"
"abdhakgn-1","PTS2"
"abdheipn-1","PTS2"
"abdhjiik-1","PTS2"
"abdhobbe-1","PTS2"
"abdibeei-1","PTS2"
"abdifmmc-1","PTS2"
"abdigijo-1","PTS2"
"abdjedki-1","PTS2"
"abdjmimb-1","PTS2"
"abdjooff-1","PTS2"
"abdkjbmj-1","PTS2"
"abdklclp-1","PTS2"
"abdldpbj-1","PTS2"
"abdllklc-1","PTS2"
"abdloojk-1","PTS2"
"abdlpcac-1","PTS2"
"abdlpgdn-1","PTS2"
"abdmkeoh-1","PTS2"
"abdmlnah-1","PTS2"
"abdmmjni-1","PTS2"
"abdnfahn-1","PTS2"
"abdnpgmi-1","PTS2"
"abdochmp-1","PTS2"
"abdonbcj-1","PTS2"
"abdopeon-1","PTS2"
"abdpccdm-1","PTS2"
"abeaokgi-1","PTS2"
"abeblpbo-1","DCT1"
"abebndfj-1","PTS2"
"abebpplp-1","PTS2"
"abeccpge-1","PTS2"
"abechflb-1","PTS2"
"abecmfao-1","PTS2"
"abecpdpp-1","PTS2"
"abecphgf-1","PTS2"
"abedfnfj-1","PTS2"
"abeeagad-1","PTS2"
"abeeelaj-1","PTS2"
"abeeommk-1","PTS2"
"abefajnc-1","PTS2"
"abefbdpm-1","PTS2"
"abefhjdi-1","PTS2"
"abefhklo-1","PTS2"
"abefkhpe-1","PTS2"
"abefplkj-1","PTS2"
"abegjhdc-1","PTS2"
"abehcpgh-1","PTS2"
"abeidkia-1","PTS2"
"abeikoja-1","PTS2"
"abeipifa-1","PTS2"
"abejhlbn-1","PTS1"
"abekkgij-1","PTS2"
"abekpfio-1","PTS2"
"abelmdie-1","PTS2"
"abemfobc-1","PTS2"
"abenggbd-1","PTS2"
"abepenlk-1","PTS2"
"abepkioa-1","PTS2"
"abepnnji-1","PTS2"
"abfackjb-1","PTS2"
"abfbbfmp-1","PTS2"
"abfbebgg-1","PTS2"
"abfbgekk-1","PTS2"
"abfbndog-1","PTS2"
"abfboljd-1","PTS2"
"abfcaipb-1","PTS2"
"abfcfncc-1","PTS2"
"abfcgfni-1","PTS2"
"abfckejk-1","PTS2"
"abfdfjig-1","PTS2"
"abfdmjib-1","PTS2"
"abfeabnp-1","PTS1"
"abfeddei-1","PTS2"
"abfefigb-1","PTS2"
"abffbgjf-1","PTS2"
"abffegge-1","FIB"
"abffmnjf-1","PTS2"
"abfggenf-1","PTS2"
